season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,Unaired Pilot,1 May 2006,6.7,2048,"The first Pilot of what will become ""The Big Bang Theory"". Leonard and Sheldon are two awkward scientists who share an apartment. They meet a drunk girl called Katie and invite her to stay at their place, because she has nowhere to stay. The two guys have a female friend, also a scientist, called Gilda."
1,2,Pilot,24 Sep. 2007,8.2,6135,"A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite."
1,3,The Big Bran Hypothesis,1 Oct. 2007,8.3,4924,Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.
1,4,The Fuzzy Boots Corollary,8 Oct. 2007,7.7,4392,"Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him."
1,5,The Luminous Fish Effect,15 Oct. 2007,8.1,4434,Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.
1,6,The Hamburger Postulate,22 Oct. 2007,7.9,4227,"Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand."
1,7,The Middle Earth Paradigm,29 Oct. 2007,8.4,4402,"The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt."
1,8,The Dumpling Paradox,5 Nov. 2007,8.1,4143,"When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys."
1,9,The Grasshopper Experiment,12 Nov. 2007,8.2,4172,"When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol."
1,10,The Cooper-Hofstadter Polarization,17 Mar. 2008,8.0,4024,"Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't."
1,11,The Loobenfeld Decay,24 Mar. 2008,8.0,4119,"Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it."
1,12,The Pancake Batter Anomaly,31 Mar. 2008,8.2,4094,"When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him."
1,13,The Jerusalem Duality,14 Apr. 2008,7.9,3902,"Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him."
1,14,The Bat Jar Conjecture,21 Apr. 2008,8.3,4015,"Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie."
1,15,The Nerdvana Annihilation,28 Apr. 2008,8.1,3950,"Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia."
1,16,The Pork Chop Indeterminacy,5 May 2008,8.2,4153,"Leonard, Howard and Raj fight over Sheldon's twin sister when she arrives in town. Raj takes part in a drug trial to suppress his selective mutism."
1,17,The Peanut Reaction,12 May 2008,8.3,3914,"When Penny learns that Leonard has never had a birthday party, she and the rest of the guys plan a surprise party for him."
1,18,The Tangerine Factor,19 May 2008,8.5,4101,"After a bad breakup, Penny finally agrees to go out on a date with Leonard, however they both develop doubts and turn to Sheldon for advice."
2,1,The Bad Fish Paradigm,22 Sep. 2008,8.2,3990,"Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard."
2,2,The Codpiece Topology,29 Sep. 2008,8.1,3680,Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.
2,3,The Barbarian Sublimation,6 Oct. 2008,8.7,4282,"Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted."
2,4,The Griffin Equivalency,13 Oct. 2008,7.9,3703,The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.
2,5,The Euclid Alternative,20 Oct. 2008,8.4,3801,"Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive."
2,6,The Cooper-Nowitzki Theorem,3 Nov. 2008,8.2,3824,"Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle."
2,7,The Panty Piñata Polarization,10 Nov. 2008,8.7,4061,"Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model."""
2,8,The Lizard-Spock Expansion,17 Nov. 2008,8.1,3661,Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.
2,9,The White Asparagus Triangulation,24 Nov. 2008,8.1,3626,"Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands."
2,10,The Vartabedian Conundrum,8 Dec. 2008,7.7,3545,"Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease."
2,11,The Bath Item Gift Hypothesis,15 Dec. 2008,9.1,5982,"Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny."
2,12,The Killer Robot Instability,12 Jan. 2009,7.9,3563,"Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university."
2,13,The Friendship Algorithm,19 Jan. 2009,8.0,3561,Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.
2,14,The Financial Permeability,2 Feb. 2009,8.0,3533,Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.
2,15,The Maternal Capacitance,9 Feb. 2009,8.9,4273,"Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle."
2,16,The Cushion Saturation,2 Mar. 2009,8.2,3550,"Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch."
2,17,The Terminator Decoupling,9 Mar. 2009,8.1,3869,"On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind."
2,18,The Work Song Nanocluster,16 Mar. 2009,8.1,3562,Sheldon's assistance with Penny's home-based business leads to chaos.
2,19,The Dead Hooker Juxtaposition,30 Mar. 2009,8.2,3598,Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.
2,20,The Hofstadter Isotope,13 Apr. 2009,7.9,3448,"Leonard is upset when the owner of the comic book store goes on a date with Penny, so he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own."
2,21,The Vegas Renormalization,27 Apr. 2009,8.5,3736,"After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment."
2,22,The Classified Materials Turbulence,4 May 2009,8.2,3414,Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.
2,23,The Monopolar Expedition,11 May 2009,8.3,3517,Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.
3,1,The Electric Can Opener Fluctuation,21 Sep. 2009,8.3,3786,"After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny."
3,2,The Jiminy Conjecture,28 Sep. 2009,7.8,3448,Leonard and Penny's first night together goes awkwardly. Sheldon and Howard wager on the species of a cricket.
3,3,The Gothowitz Deviation,5 Oct. 2009,8.1,3532,"Sheldon attempts to covertly alter Penny's habits, while Howard and Raj try their luck meeting women at a Goth-style club."
3,4,The Pirate Solution,12 Oct. 2009,8.0,3456,"When Raj has to find a new job or be sent back to India, Sheldon's solution leaves Leonard and Penny dealing with Howard as the third wheel."
3,5,The Creepy Candy Coating Corollary,19 Oct. 2009,8.3,3543,"Leonard is forced to ask Penny to set Howard up with one of her friends, while Sheldon seeks payback against sci-fi star Wil Wheaton."
3,6,The Cornhusker Vortex,2 Nov. 2009,7.5,3337,"Leonard tries to learn about football to fit in with Penny's friends. Meanwhile, a loss in a kite war threatens to end Raj and Howard's friendship."
3,7,The Guitarist Amplification,9 Nov. 2009,7.8,3338,Sheldon is caught in the middle when Leonard and Penny argue about Penny's friend staying at her apartment.
3,8,The Adhesive Duck Deficiency,16 Nov. 2009,8.9,4753,"Penny is forced to turn to Sheldon for help when she dislocates her shoulder in the bathtub. Meanwhile, the rest of the guys accidentally get stoned in the desert while waiting for a meteor shower."
3,9,The Vengeance Formulation,23 Nov. 2009,8.4,3527,Sheldon plans revenge after Kripke humiliates him on the radio. Howard develops doubts about his relationship with Bernadette.
3,10,The Gorilla Experiment,7 Dec. 2009,8.5,3590,"Sheldon attempts to help Penny understand physics to impress Leonard, while Howard becomes jealous when Bernadette takes an interest in Leonard's research."
3,11,The Maternal Congruence,14 Dec. 2009,8.3,3474,Leonard's mother makes a visit to his dismay and Sheldon's delight.
3,12,The Psychic Vortex,11 Jan. 2010,8.3,3426,Raj talks Sheldon into being his wingman at a university mixer. Leonard has trouble dealing with Penny consulting a psychic.
3,13,The Bozeman Reaction,18 Jan. 2010,8.1,3324,"When their apartment is robbed, Leonard and Sheldon turn to Howard and Raj to create a state-of-the-art security system."
3,14,The Einstein Approximation,1 Feb. 2010,8.5,3633,Sheldon wreaks havoc when he is stumped by a difficult physics question.
3,15,The Large Hadron Collision,8 Feb. 2010,8.1,3267,"When Leonard is offered a trip to Switzerland on Valentine's Day to visit the CERN laboratory, Sheldon uses any and all means to be his guest instead of Penny."
3,16,The Excelsior Acquisition,1 Mar. 2010,8.3,3380,Sheldon misses an opportunity to get Stan Lee's autograph because he has to make an appearance in traffic court.
3,17,The Precious Fragmentation,8 Mar. 2010,8.5,3583,"The guys' friendship is threatened when they find a ring from the ""Lord of the Rings"" trilogy."
3,18,The Pants Alternative,22 Mar. 2010,8.4,3507,Sheldon seeks help from the rest of the gang in overcoming his fear of public speaking when he receives an award.
3,19,The Wheaton Recurrence,12 Apr. 2010,7.9,3282,Sheldon takes on Wil Wheaton in a game of bowling. Leonard and Penny's relationship comes to a crossroad.
3,20,The Spaghetti Catalyst,3 May 2010,8.1,3279,Sheldon is forced to go behind Leonard's back to spend time with Penny following their breakup.
3,21,The Plimpton Stimulation,10 May 2010,8.2,3526,Chaos ensues when a nymphomaniac physicist visiting Sheldon hooks up with Leonard.
3,22,The Staircase Implementation,17 May 2010,9.0,4597,Leonard tells Penny about how he and Sheldon became roommates and what happened to the elevator.
3,23,The Lunar Excitation,24 May 2010,8.6,3581,"Penny has a night of angry, drunken sex with Leonard, much to his confusion. Meanwhile, Howard and Raj search for Sheldon's perfect match online."
4,1,The Robotic Manipulation,23 Sep. 2010,8.7,4026,"Penny ends up tagging along on Sheldon's first ever date with Amy, while Howard finds an unusual use for a robotic arm."
4,2,The Cruciferous Vegetable Amplification,30 Sep. 2010,8.4,3591,"When Sheldon calculates the technology to download his consciousness into a robot won't be invented soon enough, he desperately tries to find a way to increase his lifespan."
4,3,The Zazzy Substitution,7 Oct. 2010,8.0,3376,"Following his 'breakup' with Amy, the gang become concerned with Sheldon's obsessive search for non-human companionship and call his mother to intervene."
4,4,The Hot Troll Deviation,14 Oct. 2010,8.0,3377,"Howard tries to get Penny's help in winning back Bernadette, but first has to confess the embarrassing reason why they broke up in the first place. Raj and Sheldon clash over a desk."
4,5,The Desperation Emanation,21 Oct. 2010,7.7,3228,"Sheldon is scared that he is in a relationship when Amy asks him to meet her mother, and Leonard asks Howard and Bernadette to set him up because he is the only person in the group without a girlfriend."
4,6,The Irish Pub Formulation,28 Oct. 2010,8.0,3287,"Leonard tries to keep everyone from finding out that he spent the night with Raj's sister, but Sheldon finds out and concocts an elaborate story to help him keep the secret from Raj."
4,7,The Apology Insufficiency,4 Nov. 2010,8.1,3329,An FBI agent interviews the guys when Howard needs to obtain a security clearance.
4,8,The 21-Second Excitation,11 Nov. 2010,8.1,3324,"The guys camp out all night waiting to see an extended cut of Indiana Jones, while Amy joins in on girls' night with Penny and Bernadette."
4,9,The Boyfriend Complexity,18 Nov. 2010,8.5,3489,"Penny asks Leonard to pose as her boyfriend when her father visits. Howard, Raj and Bernadette have an awkward encounter when they spend the evening together."
4,10,The Alien Parasite Hypothesis,9 Dec. 2010,7.7,3217,"Amy finds she has sexual feelings for Penny's ex-boyfriend Zack, while Raj and Howard try to prove who would be the better superhero."
4,11,The Justice League Recombination,16 Dec. 2010,8.7,3729,The guys enter a costume contest as members of the Justice League and convince Penny and Zack to join them.
4,12,The Bus Pants Utilization,6 Jan. 2011,7.6,3204,"Leonard has an idea for a new smartphone app and asks the guys for help, however Sheldon tries to take over the project, and Leonard fires him."
4,13,The Love Car Displacement,20 Jan. 2011,8.3,3448,Chaos ensues when the gang spend the weekend together at a science convention.
4,14,The Thespian Catalyst,3 Feb. 2011,7.8,3266,"To improve his skills as an instructor, Sheldon asks Penny to give him acting lessons. Meanwhile, Raj begins having impure fantasies about Bernadette."
4,15,The Benefactor Factor,10 Feb. 2011,7.8,3211,"To secure needed funding for the university, Sheldon convinces Leonard to get friendly with a wealthy benefactor."
4,16,The Cohabitation Formulation,17 Feb. 2011,7.9,3122,"Bernadette makes Howard choose between herself and his mother, while Penny and Raj become upset when Priya returns to town and resumes her relationship with Leonard."
4,17,The Toast Derivation,24 Feb. 2011,8.0,3154,Sheldon becomes concerned when everybody begins to hang out at Raj's apartment and discovers Leonard is the center of the group.
4,18,The Prestidigitation Approximation,10 Mar. 2011,8.2,3311,Priya forces Leonard to choose between a relationship with her or a friendship with Penny. A magic trick by Howard has Sheldon fooled.
4,19,The Zarnecki Incursion,31 Mar. 2011,8.1,3220,"The guys go all out to help Sheldon find the person responsible for hacking his online gaming account, while the girls' hatred for Priya increases."
4,20,The Herb Garden Germination,7 Apr. 2011,8.2,3202,Sheldon and Amy secretly experiment on the gang by spreading rumors when they hear that Bernadette is thinking about breaking up with Howard.
4,21,The Agreement Dissection,28 Apr. 2011,8.3,3282,"When Priya finds a loophole in the roommate agreement to throw Sheldon out for the night, Penny, Amy and Bernadette take him to a nightclub."
4,22,The Wildebeest Implementation,5 May 2011,7.8,3106,"Sheldon invents a three-player chess game, Penny and Amy use Bernadette to spy on Leonard and Priya, and Raj tries a new drug to treat his social anxiety."
4,23,The Engagement Reaction,12 May 2011,8.1,3159,"Howard believes that his mom suffered a heart attack because he told her that he's marrying Bernadette, Sheldon freaks out over germs, and Penny and Priya compare notes on Leonard."
4,24,The Roommate Transmogrification,19 May 2011,8.6,3366,Raj moves in with Sheldon after hearing Leonard and Priya engage in a Star Trek fantasy in his apartment. Bernadette receives her doctorate.
5,1,The Skank Reflex Analysis,22 Sep. 2011,8.1,3802,The gang deal with the fallout from Penny and Raj's night together.
5,2,The Infestation Hypothesis,22 Sep. 2011,8.0,3340,Amy gets inadvertently caught in the middle of a fight between Sheldon and Penny over a chair. Leonard tries to add some spice to his long-distance relationship with Priya.
5,3,The Pulled Groin Extrapolation,29 Sep. 2011,7.7,3198,Leonard accompanies Amy to a colleague's wedding. Howard tries to convince Bernadette to live with his mother after they get married.
5,4,The Wiggly Finger Catalyst,6 Oct. 2011,7.9,3259,"Penny sets up Raj with a deaf friend, not knowing that she's actually a gold digger, and Sheldon decides to let his minor decisions rest on the roll of the dice."
5,5,The Russian Rocket Reaction,13 Oct. 2011,8.0,3227,"Sheldon takes offense when Leonard wants to attend a party with Wil Wheaton, while Bernadette tries to block Howard's opportunity to go into outer space."
5,6,The Rhinitis Revelation,20 Oct. 2011,7.6,3159,Sheldon gets upset when his mother comes to visit but refuses to cook for him and attend physics lectures.
5,7,The Good Guy Fluctuation,27 Oct. 2011,8.6,3884,Sheldon tries to get into the spirit of Halloween by trying to scare the guys after they prank him. Leonard seeks Penny's advice when an attractive comic book artist takes an interest in him.
5,8,The Isolation Permutation,3 Nov. 2011,7.7,3150,"Amy is hurt when Penny and Bernadette go bridesmaid dress shopping without her, so she turns to a reluctant Sheldon for comfort."
5,9,The Ornithophobia Diffusion,10 Nov. 2011,8.2,3309,"Sheldon tries to overcome his fear of birds, while Leonard and Penny attempt to hang out together strictly as friends."
5,10,The Flaming Spittoon Acquisition,17 Nov. 2011,8.0,3202,"When Stuart asks Amy on a date, Sheldon considers having a more serious relationship with her. Meanwhile, the guys become obsessed with a new card game involving Wild West heroes and witches."
5,11,The Speckerman Recurrence,8 Dec. 2011,7.3,3150,"Leonard confronts the man who bullied him in high school, while Penny realizes she did her fair share of tormenting in the past."
5,12,The Shiny Trinket Maneuver,12 Jan. 2012,7.7,3159,Penny helps Sheldon work on his relationship with Amy when he trivializes one of her accomplishments. Howard is irked by Bernadette's dislike of children.
5,13,The Recombination Hypothesis,19 Jan. 2012,8.2,3340,Leonard and Penny contemplate reviving their romantic relationship.
5,14,The Beta Test Initiation,26 Jan. 2012,8.2,3369,Leonard and Penny develop a system to ensure their dates go smoothly. Raj finally finds a woman he can talk to - the virtual assistant on his mobile phone.
5,15,The Friendship Contraction,2 Feb. 2012,7.8,3051,"Leonard signs out of his roommate agreement, reducing himself and Sheldon to mere acquaintances, while Howard tries to think of a cool astronaut nickname for himself."
5,16,The Vacation Solution,9 Feb. 2012,7.6,3032,"When the university forces Sheldon to use vacation days, he decides to hang out in Amy's lab. Howard becomes upset when he hears Bernadette wants him to sign a prenuptial agreement."
5,17,The Rothman Disintegration,16 Feb. 2012,7.8,3107,Sheldon battles Kripke for a coveted office at the university. Penny receives a very unusual gift from Amy.
5,18,The Werewolf Transformation,23 Feb. 2012,8.2,3300,"Sheldon wreaks havoc when he tries to get a haircut from his regular barber, who is ill. Howard runs into a few problems with astronaut training."
5,19,The Weekend Vortex,8 Mar. 2012,8.2,3140,Sheldon has to choose between joining Amy at her aunt's birthday party or playing videogames all weekend with the guys.
5,20,The Transporter Malfunction,29 Mar. 2012,8.1,3266,Raj gets quite a surprise when he asks his parents to set him up on a date. Penny buys Leonard and Sheldon a pair of Star Trek keepsake collectibles.
5,21,The Hawking Excitation,5 Apr. 2012,8.6,3653,"Sheldon uses any and all means to meet his hero, Dr. Stephen Hawking."
5,22,The Stag Convergence,26 Apr. 2012,7.8,3112,"The guys throw Howard a bachelor party, and some embarrassing details about his life get posted on the Internet."
5,23,The Launch Acceleration,3 May 2012,8.1,3067,"NASA cancel, and later reinstate Howard's mission into space, coinciding with his wedding. Leonard inadvertently jeopardizes his relationship with Penny."
5,24,The Countdown Reflection,10 May 2012,8.5,3504,"As Howard prepares for his mission into space, flashbacks show the recent events leading up to his and Bernadette's wedding."
6,1,The Date Night Variable,27 Sep. 2012,7.7,3997,Raj crashes Sheldon and Amy's second anniversary and interferes in Leonard and Penny's relationship. Howard gets caught in the middle of an argument between Bernadette and his mother.
6,2,The Decoupling Fluctuation,4 Oct. 2012,7.7,3190,"Penny continues to have doubts about her relationship with Leonard. Meanwhile, Howard becomes the target of practical jokes on the space station."
6,3,The Higgs Boson Observation,11 Oct. 2012,8.0,3205,"When Sheldon hires a female grad student to assist him, a jealous Amy asks Penny to help her spy on them. On the space station, Howard begins behaving erratically."
6,4,The Re-Entry Minimization,18 Oct. 2012,8.3,3414,Howard is offended when his return from space is met with little fanfare. Penny and Amy take on Sheldon and Leonard during game night.
6,5,The Holographic Excitation,25 Oct. 2012,8.0,3175,"While Raj plans Stuart's Halloween party at the comic book store, Howard annoys the rest of the gang by constantly talking about space, and Penny tries to take more of an interest in Leonard's work."
6,6,The Extract Obliteration,1 Nov. 2012,7.9,3056,Penny enrolls in a college class and keeps it a secret from Leonard. Sheldon causes conflict with Dr. Stephen Hawking over an online game.
6,7,The Habitation Configuration,8 Nov. 2012,7.7,3022,"Howard makes a decision whether or not to move out of his mother's house, while Sheldon is caught in the middle of an argument between Amy and Wil Wheaton."
6,8,The 43 Peculiarity,15 Nov. 2012,8.5,3531,"Leonard feels threatened after hearing about Penny's study partner at school, while Howard and Raj become determined to find out one of Sheldon's secrets."
6,9,The Parking Spot Escalation,29 Nov. 2012,8.3,3419,The gang are drawn into a fight between Howard and Sheldon over Sheldon's vacant parking spot at the university.
6,10,The Fish Guts Displacement,6 Dec. 2012,8.1,3210,"Howard tries to bond with Bernadette's father during a fishing trip. When Sheldon is obligated to take care of a sick Amy, she finds ways to take advantage of the situation."
6,11,The Santa Simulation,13 Dec. 2012,7.8,3096,The girls take Raj out to a nightclub to find him a date. A game of Dungeons and Dragons rekindle old memories of Santa for Sheldon.
6,12,The Egg Salad Equivalency,3 Jan. 2013,8.4,3489,"When Penny finds out Alex has a crush on Leonard, Sheldon gets himself and the rest of the guys in trouble with Human Resources whilst trying to solve the problem."
6,13,The Bakersfield Expedition,10 Jan. 2013,8.4,3496,"The guys are stranded in the middle of nowhere when Leonard's car is stolen on the way to the Bakersfield Comic-Con. Back home, the girls try to figure out why the guys are so fascinated with comic books."
6,14,The Cooper/Kripke Inversion,31 Jan. 2013,7.8,3062,Sheldon is forced to work with Kripke on a project and must concoct an elaborate lie when he can't hold up his end of the work. Howard and Raj get superhero figurines made of themselves.
6,15,The Spoiler Alert Segmentation,7 Feb. 2013,8.2,3180,"Leonard moves in with Penny after a fight with Sheldon, which causes Amy to want to move in with Sheldon. Meanwhile, Raj has a frightening experience with Howard's mother."
6,16,The Tangible Affection Proof,14 Feb. 2013,7.9,3101,"Sheldon gets Alex to buy a Valentine's Day gift for Amy. Leonard, Penny, Howard and Bernadette have a disastrous dinner together. Raj and Stuart host a ""Lonely People"" party at the comic book store."
6,17,The Monster Isolation,21 Feb. 2013,7.6,2952,"Raj falls apart after his date sneaks out on him, and Sheldon reluctantly returns the favor after Penny helps him out with his ""Fun With Flags"" program."
6,18,The Contractual Obligation Implementation,7 Mar. 2013,7.7,3039,"Leonard, Sheldon and Howard give lectures on science to junior high students. The girls ditch work to go to Disneyland. Raj devises a date for Lucy that fixes their social anxiety problems."
6,19,The Closet Reconfiguration,14 Mar. 2013,8.1,3195,Howard becomes upset when Sheldon finds a letter from his estranged father whilst cleaning out his and Bernadette's closet.
6,20,The Tenure Turbulence,4 Apr. 2013,8.0,3097,"Leonard, Sheldon, Raj and Kripke battle for tenure at the university."
6,21,The Closure Alternative,25 Apr. 2013,8.0,3055,Amy tries to help a depressed Sheldon find closure when one of his favorite TV shows is canceled. Raj becomes paranoid when he finds Lucy's blog.
6,22,The Proton Resurgence,2 May 2013,8.0,3157,Bernadette and Howard offer to watch Raj's dog and live to regret it. Leonard and Sheldon hire their favorite childhood star to make an appearance.
6,23,The Love Spell Potential,9 May 2013,8.1,3211,"A date between Raj and Lucy takes both of them out of their comfort zones. After a trip to Las Vegas goes awry, the girls join in on a Dungeons and Dragons game, which causes Amy and Sheldon to re-evaluate their relationship."
6,24,The Bon Voyage Reaction,16 May 2013,7.8,3029,"Penny is thrown for a loop when Leonard is offered a job overseas, but the news is an even bigger shock to Sheldon. Raj and Lucy's relationship comes to a crossroad."
7,1,The Hofstadter Insufficiency,26 Sep. 2013,7.8,3419,Sheldon and Penny bond over missing Leonard. Howard tries to help Raj get over his breakup with Lucy. Amy and Bernadette take a trip together to a biology convention.
7,2,The Deception Verification,26 Sep. 2013,8.0,3374,Sheldon feels betrayed when Leonard returns from the North Sea and wants to spend his time with Penny instead of him. Howard's latest foray into helping his mother has some disastrous side effects.
7,3,The Scavenger Vortex,3 Oct. 2013,8.7,4048,The gang get competitive when they are forced to take part in Raj's scavenger hunt.
7,4,The Raiders Minimization,10 Oct. 2013,7.9,3098,"Sheldon gets mad at Amy for ruining one of his favorite movies, Raj and Stuart try to make their online dating profiles more appealing, and Leonard tries to play the sympathy card with Penny."
7,5,The Workplace Proximity,17 Oct. 2013,7.7,2956,"After a fight with Bernadette, Howard ends up on Raj's couch. Sheldon and Amy clash when Amy takes a job at the university."
7,6,The Romance Resonance,24 Oct. 2013,8.4,3527,Howard plans something special to celebrate the anniversary of his first date with Bernadette. Sheldon is conflicted when he makes a major scientific breakthrough but some details have to be corrected.
7,7,The Proton Displacement,7 Nov. 2013,7.8,3011,"Sheldon seeks payback when Arthur ""Professor Proton"" Jeffries asks Leonard for help on a project instead of him. Raj gets upset at Howard for crashing his night with the girls."
7,8,The Itchy Brain Simulation,14 Nov. 2013,7.6,2984,"Sheldon demands Leonard make up for a mistake from their past. Penny confronts Raj's ex-girlfriend, Lucy."
7,9,The Thanksgiving Decoupling,21 Nov. 2013,8.8,4134,"The gang spend Thanksgiving at Mrs. Wolowitz's house. Howard tries to bond with his father-in-law, and a mistake from Penny's past comes back to haunt her."
7,10,The Discovery Dissipation,5 Dec. 2013,7.6,2795,Leonard has to deal with the fallout of disproving Sheldon's new scientific discovery. Raj spends a week at Howard and Bernadette's apartment.
7,11,The Cooper Extraction,12 Dec. 2013,8.2,3125,"While Sheldon is at home in Texas, the rest of the gang decorate for Christmas and think about how much he has affected their lives."
7,12,The Hesitation Ramification,2 Jan. 2014,7.5,2859,"After Leonard tries to help Penny following a failed role on a TV show, she makes an important decision. Meanwhile, Raj and Stuart try to practice their social skills, and Sheldon navigates the intricacies of being funny."
7,13,The Occupation Recalibration,9 Jan. 2014,7.6,2835,Sheldon tries to relax after he is forced to take a vacation. Leonard struggles to be supportive of Penny after she quits her job. Amy receives unwanted attention from a co-worker. Bernadette seeks Stuart's help in replacing one of Howard's comic books.
7,14,The Convention Conundrum,30 Jan. 2014,8.0,3064,"When the guys can't get hold of any Comic-Con tickets, Sheldon tries to hold his own convention and ends up spending a wild night with James Earl Jones. Meanwhile, the girls try to feel more mature by going to a fancy hotel for tea."
7,15,The Locomotive Manipulation,6 Feb. 2014,8.2,3254,Sheldon and Amy take a train ride to Napa Valley with Howard and Bernadette on Valentine's Day. Leonard and Penny take Raj's dog to the vet when she accidentally eats some chocolate.
7,16,The Table Polarization,27 Feb. 2014,7.6,2733,"Leonard's purchase of a dining room table causes Sheldon to reevaluate the changes in his life. Meanwhile, Howard is offered a chance to go back to space and Bernadette struggles with whether or not to encourage him."
